Bug_id,creationdate,resolutiondate
757431,2012-05-22 14:26:51 +0000,2012-06-19 08:24:30 +0000
758200,2012-05-24 13:56:58 +0000,2012-09-22 12:48:21 +0000
758408,2012-05-24 22:03:36 +0000,2012-07-20 13:54:27 +0000
758471,2012-05-25 01:09:06 +0000,2012-05-26 12:27:26 +0000
758990,2012-05-27 21:18:00 +0000,2012-06-02 19:26:03 +0000
759249,2012-05-29 06:28:57 +0000,2012-06-02 19:09:20 +0000
759249,2012-05-29 06:28:57 +0000,2012-06-02 19:09:20 +0000
761448,2012-06-04 23:53:47 +0000,2013-01-08 18:39:06 +0000
761655,2012-06-05 16:26:40 +0000,2012-06-13 01:33:18 +0000
761667,2012-06-05 16:34:45 +0000,2013-04-24 01:50:24 +0000
761831,2012-06-05 22:43:38 +0000,2012-07-19 14:40:42 +0000
762280,2012-06-06 22:37:21 +0000,2012-07-17 09:29:49 +0000
763225,2012-06-09 20:04:08 +0000,2012-06-15 13:12:29 +0000
765139,2012-06-15 05:04:05 +0000,2012-07-10 15:10:24 +0000
765179,2012-06-15 10:43:09 +0000,2012-06-16 15:59:58 +0000
765179,2012-06-15 10:43:09 +0000,2012-06-16 15:59:58 +0000
765218,2012-06-15 13:25:28 +0000,2012-06-22 10:53:33 +0000
765409,2012-06-15 23:40:29 +0000,2012-09-08 04:18:15 +0000
765527,2012-06-17 01:11:00 +0000,2012-08-26 02:31:43 +0000
765621,2012-06-17 21:29:53 +0000,2012-09-18 12:35:12 +0000
765628,2012-06-17 23:35:57 +0000,2012-07-18 10:37:25 +0000
765936,2012-06-18 22:48:02 +0000,2012-07-07 20:02:19 +0000
